participant_id,replicate_id,arrow_load,flanker_consistency,rt_congruent_ms,rt_incongruent_ms,congruency_effect_ms,error_count
10,1,high,inconsistent,525,571.2,46.2,1.0
10,2,low,consistent,375,454.0,79.0,0.0
10,2,low,inconsistent,479,474.8,-4.2,1.0
10,2,high,consistent,395,408.0,13.0,0.0
10,2,high,inconsistent,438,472.3,34.3,0.0
10,3,low,consistent,420,459.0,39.0,2.0
10,3,low,inconsistent,348,405.5,57.5,1.0
10,3,high,consistent,379,468.7,89.7,2.0
10,3,high,inconsistent,466,493.3,27.3,1.0
10,4,low,consistent,531,514.0,-17.0,0.0
10,4,low,inconsistent,474,481.8,7.8,1.0
10,4,high,consistent,382,538.0,156.0,1.0
10,4,high,inconsistent,437,476.9,39.9,0.0
10,5,low,consistent,499,577.0,78.0,1.0
10,5,low,inconsistent,395,425.5,30.5,1.0
10,5,high,consistent,380,447.5,67.5,0.0
10,5,high,inconsistent,463,484.8,21.8,0.0
11,1,low,consistent,495,535.0,40.0,2.0
11,1,low,inconsistent,397,403.6,6.6,0.0
11,1,high,consistent,461,528.6,67.6,1.0
11,1,high,inconsistent,467,467.7,0.7,0.0
11,2,low,consistent,486,564.0,78.0,0.0
11,2,low,inconsistent,369,397.8,28.8,0.0
11,2,high,consistent,386,597.9,211.9,1.0
11,2,high,inconsistent,462,485.1,23.1,1.0
11,3,low,consistent,436,495.0,59.0,0.0
11,3,low,inconsistent,351,402.6,51.6,1.0
11,3,high,consistent,482,548.3,66.3,1.0
11,3,high,inconsistent,358,439.3,81.3,1.0
11,4,low,consistent,434,461.0,27.0,1.0
11,4,low,inconsistent,419,456.2,37.2,0.0
11,4,high,consistent,363,446.2,83.2,1.0
11,4,high,inconsistent,446,450.2,4.2,1.0
11,5,low,consistent,423,472.0,49.0,0.0
11,5,low,inconsistent,378,431.3,53.3,0.0
11,5,high,consistent,406,501.0,95.0,1.0
11,5,high,inconsistent,474,481.7,7.7,1.0
12,1,low,consistent,493,500.0,7.0,0.0
12,1,low,inconsistent,403,434.8,31.8,0.0
12,1,high,consistent,418,436.2,18.2,0.0
12,1,high,inconsistent,494,531.8,37.8,0.0
12,2,low,consistent,455,491.0,36.0,1.0
12,2,low,inconsistent,432,468.0,36.0,1.0
12,2,high,consistent,439,468.9,29.9,0.0
12,2,high,inconsistent,433,446.3,13.3,0.0
12,3,low,consistent,539,564.0,25.0,3.0
12,3,low,inconsistent,385,407.2,22.2,1.0
12,3,high,consistent,452,558.6,106.6,0.0
12,3,high,inconsistent,464,521.4,57.4,1.0
12,4,low,consistent,435,483.0,48.0,0.0
12,4,low,inconsistent,388,418.0,30.0,0.0
12,4,high,consistent,383,449.3,66.3,1.0
12,4,high,inconsistent,446,464.2,18.2,1.0
12,5,low,consistent,426,549.0,123.0,0.0
12,5,low,inconsistent,404,451.0,47.0,0.0
12,5,high,consistent,385,459.0,74.0,1.0
12,5,high,inconsistent,450,508.8,58.8,0.0
